X111,X211,X311,X411,X112,X212,X312,X412,X113,X213,X313,X413,X121,X221,X321,X421,X122,X222,X322,X422,X123,X223,X323,X423,X131,X231,X331,X431,X132,X232,X332,X432,X133,X233,X333,X433
,,,,,,,,35.1,93.3,79.6,91.6,,,,,41.3,111.4,98.8,104.8,38.3,98.3,89.7,99.1,,,,,,,,,,,,
,,,,,,,,42.1,99.6,88.6,104.1,,,,,36.4,105.1,90.7,100.3,39.4,106.8,100,105,,,,,,,,,,,,
,,,,,,,,36.4,93.6,82.9,96.3,,,,,37.8,104.6,101.1,102.1,38,106.6,97.5,100.6,,,,,,,,,,,,
,,,,,,,,38.7,100.5,88.7,99.8,,,,,40.9,110.9,100.5,106.2,41.5,115.3,108.8,114.4,,,,,,,,,,,,
,,,,,,,,38.1,100.9,82.5,99.9,,,,,35.5,86.7,80,93.4,38,100.7,92.4,97.5,,,,,,,,,,,,
,,,,,,,,37.9,100.8,89.1,102.6,,,,,37.2,99.7,95.6,102.2,37,99.1,92,98.3,,,,,,,,,,,,
,,,,,,,,38.5,101.5,83.6,98.2,,,,,40.2,99.7,95,98.6,38.5,107.4,98.9,104.1,,,,,,,,,,,,
,,,,,,,,37.3,99.6,88.8,101.4,,,,,38.5,106.5,100.9,106.2,40,107.5,94,103.7,,,,,,,,,,,,
,,,,,,,,39.4,103.6,90.9,107.7,,,,,38.7,101.8,94.9,95,39.9,107.6,100,99.6,,,,,,,,,,,,
,,,,,,,,38,96.6,85.3,102.5,,,,,37.1,108,105,103,39.5,111.4,106,108.8,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,38,101.8,87.5,101,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,43.9,108.2,100.4,106.8,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,40.6,104,98.2,101.1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,42.5,119.9,110.4,105.5,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,40.8,109.2,98,101.8,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,39.3,103.1,97.8,99.6,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,39.2,102,99.1,110.1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,36.8,96,90,99.7,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,35.4,92.2,85.6,96.5,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,41.9,105.6,96.3,102,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,37.4,98.7,87.6,96.1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,39.8,103.9,93.5,99.5,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,37.8,103.6,99.8,103.2,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,41.4,112.3,104.8,103.1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,40,106.2,100.5,109,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,38.6,105.2,102.8,103.6,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,38.2,101.1,100.1,105,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,40.1,106.5,95,101.7,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,40.5,107.5,95.1,104.5,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,40.7,103.5,95.5,101.6,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,38.3,95.4,92.4,104.3,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,37.7,97.8,98.6,100.6,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,37.7,98.9,90.4,95.5,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,42,110,101.6,100.7,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,41.9,117.5,109.3,108.8,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,38.3,105.3,96.7,106.6,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,40,108.5,104.6,109.8,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,42.8,109.5,104.5,109.9,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,41.8,108.3,102.9,114.4,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,40.2,115.6,104,109,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,40.8,104.3,99.2,104.1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,39,104.5,94.4,107.8,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,38.5,106.7,105.7,111.8,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,40.8,104.7,106.6,107.7,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,35.6,92.1,83.5,98.3,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,38.5,110.1,88.7,102.1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,41.1,113.2,99.2,107.5,,,,,,,,,,,,
